Pro_1	Pro_2	Pro_3	Sen_1	Sen_2	Sen_3
NDUFS3	65.44	67.27	61.3	96.34	88.11	90.54
NDUFS4	117.33	110.43	119.65	117.31	127.73	134.48
NDUFS5	511.94	513.62	559.24	919.79	845.56	952.68
NDUFS6	192.62	177.74	195.39	230.28	213.87	236.85
NDUFS7	101.43	91.34	97.44	131.52	124.83	124.44
NDUFS8	135.81	135.3	135.18	181.86	190.91	191.9
NDUFV1	79.4	80.89	81.04	111.93	118.1	109.32
NDUFV2	163.16	151.4	164.45	268.73	291.39	291.68
NDUFV2-AS1	1.78	1.46	1.05	0.44	0.54	0.69
NDUFV3	33.96	33.17	32.98	47.64	44.96	49.98
NEAT1	51.96	69.15	61.99	37.76	46.93	42.13
NEB	0.04	0.01	0.01	0.05	0.41	0.16
NEBL	0.05	0.1	0	0.02	0	0.01
NEBL-AS1	0	0	0	0	0	0
NECAB1	2.68	2.06	1.71	0.47	0.51	0.67
NECAB2	0.29	0.63	0.61	2.37	3.07	2.79
NECAB3	21.64	23.34	23.09	42.69	45.3	42.26
NECAP1	28.63	27.4	26.36	58.52	47.05	48.52
NECAP2	82.93	78.14	84.26	112.35	124.4	116.3
NEDD1	16.45	16.35	17.44	9.83	10.19	10.2
NEDD4	72.06	61.8	63.54	33.56	25.44	25.05
NEDD4L	6.18	6.56	5.93	6.88	4.54	5.41
NEDD8	400.28	360.02	395.3	519.33	527.93	549.04
NEDD8-MDP1	0	0	0	0.83	0	0
NEDD9	28.4	29.24	24.69	5.92	9.81	7.39
NEFH	3.87	3.66	4.45	6.98	5.72	5.9
NEFL	0	0.03	0	2.41	5.54	8.09
NEFM	0.06	0.03	0.05	1.24	2.01	2.14
NEGR1	11.47	8.67	9.47	2.43	2.85	2.7
NEGR1-IT1	0	0	0	0	0	0
NEIL1	1.6	1.65	0.96	0.76	0.67	0.8
NEIL2	11.2	10.48	12.18	32.88	30.42	33.95
NEIL3	3.26	2.37	3.08	0.49	0.09	0.13
NEK1	11.67	13.4	12.23	14.24	13.37	13.38
NEK10	0.57	0.3	0.54	6.42	8.78	5.47
NEK11	2.1	1.91	2.01	2.03	1.33	1.42
NEK2	8.25	4.8	6.92	1.48	0.41	1.43
NEK3	6.38	5.29	5.02	4.02	4.69	3.93
NEK4	10.95	10.98	10.33	13.6	12.19	11.72
NEK5	0.03	0.03	0	0	0.04	0
NEK6	133.24	136.22	131.85	72.67	81.31	67.82
NEK7	49.51	46.33	51.85	49.55	45.55	44.21
NEK8	1.17	1.08	1.68	0.65	0.81	0.66
NEK9	54.92	59.37	51.84	28.47	33.37	29.08
NELFA	20.57	21.97	16.41	19.8	20.87	17.54
NELFB	55.47	54.89	59.32	75.92	76.24	74.81
NELFCD	39.49	39.12	37.59	68.77	65.5	68.08
NELFE	73.82	71.38	72.17	69.63	61.59	69.37
NELL1	0	0	0	0	0	0
NELL2	0.06	0	0.05	0	0.07	0.07
NEMF	28.95	29.12	29.22	29.41	28.39	27.1
NEMP1	11.01	10.02	8.8	6.18	6.79	5.77
NEMP2	8.13	7.38	6.17	10.69	7.18	6.67
NENF	68.46	78.27	73.02	62.61	67.78	67.67
NEO1	46.75	48.5	43.64	12.13	16.01	11.46
NES	36.9	37.11	43.38	228.6	264.15	229.67
NET1	9.19	7.11	8.16	16.67	14.59	14.99
NETO1	0	0	0	0.15	0.23	0.05
NETO2	4.46	3.4	4.26	7.4	6.12	6.37
NEU1	93.13	83.74	77.51	145.76	120.04	114.65
NEU2	0	0	0	0	0	0
NEU3	3.3	3.25	3.21	3.01	3.8	2.78
NEU4	0	0	0	0	0	0
NEURL1	0.31	0.27	0.18	0.21	0.25	0.29
NEURL1-AS1	0	0	0	0	0	0
NEURL1B	3.7	2.96	3.16	0.46	0.28	0.36
NEURL2	4.02	3.76	3.78	2.41	1.57	2.01
NEURL3	0	0	0	0	0	0.06
NEURL4	16.25	18.44	13.66	19.68	18.96	17.73
NEUROD1	0	0	0	0	0	0
NEUROD2	0.03	0	0	0	0	0
NEUROD4	0	0	0	0	0	0
NEUROD6	0	0	0	0	0	0
NEUROG1	0	0	0	0	0	0
NEUROG2	0	0	0	0	0	0
NEUROG3	0	0	0	0	0	0
NEXN	131.36	100.82	105.53	34.22	28.09	31.05
NEXN-AS1	1.45	0.87	1.85	2.04	1.8	2.08
NF1	25.2	26.35	25.04	27.47	31.84	24.41
NF1P2	0	0	0	0	0	0
NF2	31.67	27.76	31.11	55.66	44.26	44.74
NFAM1	0	0	0	0	0	0
NFASC	0.05	0.01	0	0.14	0.54	0.21
NFAT5	21.13	20.56	20.1	14.13	13.24	10.57
NFATC1	3.32	3.89	5.12	3.77	4.89	4.75
NFATC2	0.5	0.31	0.26	0.87	1.11	0.69
NFATC2IP	14.32	14.59	14.79	21.37	22.93	20.28
NFATC3	16.51	18.42	15.59	17.98	17.32	15.02
NFATC4	23.54	33.21	26.74	21.01	25.98	20.93
NFE2	0.05	0	0	0	0	0
NFE2L1	224.21	224.56	224.44	181.61	160.67	179.44
NFE2L2	173.02	199.5	201.23	72.7	71.5	67.13
NFE2L3	41.41	39.88	41.41	58.51	79.68	55
NFIA	1.67	2.17	2.02	0.8	1.11	0.93
NFIA-AS1	0	0	0	0	0	0
NFIA-AS2	0	0	0	0	0	0
NFIB	0	0.01	0	0.02	0.03	0.04
NFIC	38.43	37.99	34.54	39.8	42.91	36.89
NFIL3	49.09	48.65	52.42	37.12	35.85	34.03
NFIX	88.24	92.07	87.93	21.34	24.27	20.18
NFKB1	28.84	27.65	27.17	45.5	35.06	35.26
NFKB2	34.67	32.29	33.16	86.18	78.97	77.99
NFKBIA	49.07	47.58	51.16	132.45	96.94	130.14
NFKBIB	31.22	32.63	30.82	52.13	40.73	47.28
NFKBID	1.05	1.1	1.24	3.35	3.53	3.19
NFKBIE	12.29	11.57	13.3	36.95	35.8	34.97
NFKBIL1	16.19	16.83	17.4	13	13.94	14.36
NFKBIZ	4.63	5.87	6.64	85.58	57.71	75.23
NFRKB	13.27	13.56	14	17.76	16.58	16.84
NFS1	13.56	13.72	14.57	24.58	29.35	24.7
NFU1	55.39	52.02	55.68	71.63	69.88	76.43
NFX1	30.52	28.26	25.53	18.19	17.52	17.94
NFXL1	13.45	14.8	14.36	5.89	5.35	5.29
NFYA	11.63	13.24	12.45	22.62	23.59	22.01
NFYB	12.56	12.34	12.03	5.12	4.46	4.37
NFYC	33.77	32.43	27.52	21.47	21.53	21.32
NFYC-AS1	0.56	1.03	0.47	0.5	0.54	0.28
NGB	0	0	0	0	0	0
NGDN	18.24	18.39	18.16	17.54	17.66	18.15
NGEF	0.03	0	0	0.33	0.04	0.07
NGF	3.71	2.08	3.04	0.35	0.22	0.42
NGFR	0	0	0	0	0.03	0.06
NGFRAP1	715.32	769.62	757.3	403.32	433.78	436.89
NGLY1	17.12	16.03	17.82	23.11	20.18	22.6
NGRN	215.23	209.24	203.2	167.27	158.25	159.01
NHEG1	0	0	0	0	0	0
NHEJ1	10.61	9.19	9.3	6.09	4.53	4.27
NHLH1	0.11	0.19	0.13	0.5	0.56	0.29
NHLH2	0	0	0	0	0	0
NHLRC1	2.1	1.74	1.97	2.2	1.51	1.68
NHLRC2	9.23	9.18	7.8	6.35	6.16	5.23
NHLRC3	7.01	7.1	6.38	2.32	2.86	1.55
NHLRC4	0.84	1.15	1.09	1.07	0.68	0.86
NHP2	131.63	124.91	125.5	251.6	236.24	241.8
NHP2L1	95.5	90.71	94.92	157.12	140.91	150.74
NHS	0.96	0.96	0.93	0.21	0.33	0.3
NHS-AS1	0	0	0	0	0	0
NHSL1	4.53	4.1	3.84	2.01	1.55	1.93
NHSL2	0.02	0.08	0.04	0.03	0	0
NICN1	12.39	13.07	14.36	4.17	5.18	5.42
NID1	166.48	213.02	158.92	75.59	87.43	58.4
NID2	269.16	335.78	352.91	69.56	90.47	73.66
NIF3L1	14.99	14.15	18.57	13.66	14.77	15.06
NIFK	50.74	44.37	43.35	85.29	66.71	77.9
NIFK-AS1	3.42	4.3	4.84	3.52	2.25	3.42
NIM1K	0.96	1.22	1.04	3.69	1.24	2.34
NIN	34.53	30.89	30.29	52.31	58.82	43.61
NINJ1	75.48	88.8	87.95	85.48	84.72	84.71
NINJ2	0.49	0	0	0.13	0.12	0.11
NINL	6.24	7.93	6.94	4.47	6.09	4.87
NIP7	29.84	27.94	23.26	56.15	41.17	52.58
NIPA1	4.39	5.03	5.62	13.31	15.23	14.5
NIPA2	64.67	61.34	60.52	103.71	88.86	89.84
NIPAL1	0.54	0.32	0.29	2.09	1.11	1.64
NIPAL2	9.19	7.45	8.5	5.56	7.99	5.23
NIPAL3	66.76	56.53	71.2	27.06	27.42	25.12
NIPAL4	2.01	0.9	0.44	0.4	0.17	0.1
NIPBL	22.16	24.46	23.22	14.46	16.02	12.8
NIPBL-AS1	2.84	3.27	2.81	1.55	0.89	1.22
NIPSNAP1	80.92	81.55	92.3	56.97	75.88	67.98
NIPSNAP3A	25.31	23.18	29.99	23.42	15.64	23.41
NIPSNAP3B	0.23	0.44	0.19	0.1	0.19	0.04
NISCH	44.67	56.04	50.48	41.34	44.99	37.32
NIT1	23.37	23.69	26.27	31.05	35.29	34.78
NIT2	39.45	35.85	44.28	60.15	55.14	60.81
NKAIN1	0.06	0	0.05	0.64	1.39	1.43
NKAIN2	0.24	0.23	0.27	0	0	0
NKAIN3	0	0	0	0	0	0
NKAIN4	0	0	0	0	0	0
NKAP	28.39	28.79	26.2	26.34	30.51	28.54
NKAPL	5.11	5.17	6.09	6.28	5.39	6.16
NKAPP1	0.26	0.33	0.33	0	0	0
NKD1	0.01	0.02	0	0.08	0.07	0.04
NKD2	0.49	4.05	2.36	5.28	18.41	10.53
NKG7	0	0	0	0	0	0
NKILA	0.72	0.69	0.68	0.85	0.73	0.9
NKIRAS1	11.01	12.35	10.4	18.41	15.28	16.28
NKIRAS2	91.25	93.07	85.81	98.62	86.95	86.37
NKPD1	0.08	0.02	0.03	0	0.05	0.04
NKRF	8.87	9.44	8.47	17.11	16.33	16.69
NKTR	14.04	13.66	13.09	14.34	13.13	11.92
NKX1-1	0	0	0	0	0	0
NKX1-2	0	0	0	0	0	0
NKX2-1	0	0	0	0	0	0
NKX2-1-AS1	0	0	0	0	0	0
NKX2-2	0	0	0	0	0	0
NKX2-3	0	0	0	0	0	0
NKX2-4	0	0	0	0	0	0
NKX2-5	0	0	0	0	0	0
NKX2-6	0	0	0	0	0.26	0
NKX2-8	0	0	0	0	0.06	0.12
NKX3-1	1.9	1.51	1.12	4.91	3.64	3.97
NKX3-2	0.04	0.09	0	0.16	0.15	0.09
NKX6-1	0.08	0	0	0	0	0
NKX6-2	0	0.1	0	0	0.11	0
NKX6-3	0	0	0	0	0	0
NLE1	12	13.47	11.27	12.79	9.79	11.14
NLGN1	2.75	2.94	2.05	0.23	0.04	0.15
NLGN1-AS1	0.12	0	0	0	0	0
NLGN2	32.78	44.27	40.16	42.74	56.37	41.33
NLGN3	0.21	0.2	0.28	0.03	0.17	0.03
NLGN4X	0	0	0	0	0	0.02
NLGN4Y	0	0	0	0	0	0
NLGN4Y-AS1	0	0	0	0	0	0
NLK	25.02	27.35	25.24	16.17	14.85	12.36
NLN	11.41	9.1	11.16	10.09	8.78	9.35
NLRC3	0.19	0.14	0.2	0.13	0.08	0.14
NLRC4	0.34	0.3	0.2	0.29	0.14	0.35
NLRC5	7.68	7.37	6.63	5.76	6.89	4.97
NLRP1	7.44	7.06	6.6	4.46	8.81	6.19
NLRP10	1.32	0.45	1.2	1.52	0.33	1.1
NLRP11	0	0	0	0	0	0
NLRP12	0	0	0	0	0	0
NLRP13	0	0	0	0	0	0
NLRP14	0	0.03	0	0.03	0.14	0.11
NLRP2	0	0.03	0	0	0.03	0
NLRP3	0.05	0.08	0.04	0.21	0.24	0.2
NLRP4	0	0	0	0	0	0
NLRP5	0	0	0	0	0	0
NLRP6	0	0.04	0	0	0.04	0.04
NLRP7	0	0	0	0	0	0
NLRP8	0	0	0	0	0	0
NLRP9	0	0	0	0.03	0.03	0
NLRX1	7.33	7.11	8.79	4.74	5.55	5.83
NMB	4.71	3.84	4.89	2.61	2.35	2.78
NMBR	0.28	0.08	0	0	0.08	0
NMD3	74.27	73.61	72.47	72.08	65.74	66.06
NME1	218.86	191.12	212.54	457.38	350.3	456.51
NME1-NME2	30.65	21.51	22	53.8	74.03	23.48
NME2	947.65	873.96	940.02	1179.97	1042.74	1256.17
NME3	50.24	57.99	58.87	67.54	72.37	64.42
NME4	270.72	306.22	310.21	396.42	497.97	448.76
NME5	0.77	1.34	0.68	0.69	0.56	0.44
NME6	15.37	15.29	11.81	11.08	8.68	9.95
NME7	26.11	23.22	24.36	42	47.35	43.18
NME8	0	0	0	0	0	0
NME9	0.13	0.14	0.3	0.22	0.1	0.05
NMI	36	33.43	31.18	5.33	3.27	4.28
NMNAT1	15.23	13.98	15.94	13.35	11.24	14.91
NMNAT2	0.43	0.27	0.61	1.18	1.57	0.85
NMNAT3	0	0.11	0	0	0	0
NMRAL1	28.95	31.47	32.63	39.6	37.84	40.52
NMRK1	12.16	12.82	11.54	11.44	14.69	12.65
NMRK2	0	0	0	0	0	0
NMS	0	0	0	0	0	0
NMT1	84.42	83.6	77.2	69.43	60.04	59.54
NMT2	23.24	19.41	20.86	9.07	10.39	10.12
NMU	0	0	0	0	0	0.16
NMUR1	0	0.03	0	0	0	0
NMUR2	0	0	0	0	0	0
NNAT	1.62	1.75	2.58	1.58	1.64	1.07
NNMT	152.78	167.29	176.1	27.89	27.81	24.67
NNT	46.87	48.95	48.82	16.05	19.58	15.24
NNT-AS1	7.69	9.24	6.86	2.98	2.32	2.73
NOA1	31.56	29.03	28.79	23.11	23.31	20.68
NOB1	45.49	43.3	45.54	65.69	54.67	59.75
NOBOX	0	0	0	0	0	0
NOC2L	70.54	61.04	63.15	164.76	129.86	155.12
NOC3L	19.21	15.05	16.64	21.9	17.06	19.5
NOC4L	16.33	17.58	13.16	23.65	20.05	23.29
NOCT	12.89	10.07	9.47	29.92	24.25	25.03
NOD1	2.75	2.54	2.61	0.64	0.97	0.78
NOD2	0	0	0	0	0.02	0.05
NODAL	0.09	0.1	0.08	0.06	0	0.05
NOG	8.21	5.16	4.46	6.92	3.3	5.16
NOL10	19.82	18.62	21.07	25.1	20.42	22.61
NOL11	30.6	28.01	31.78	46.83	36.67	43.05
NOL12	7.53	6.4	7.44	8.16	8.24	8.81
NOL3	12.62	12.31	12.21	14.23	12.26	14.29
NOL4	0	0	0	0	0	0
NOL4L	16.47	16.87	15.85	23.8	41.74	25.68
NOL6	31.21	29.31	27.85	46.98	37	39.95
NOL7	147.32	131.43	129.59	151.78	119.52	133.05
NOL8	14.08	13.56	14.47	11.23	10.32	9.93
NOL9	7.02	6.19	6.18	9.36	6.19	7
NOLC1	47.02	43.7	41.84	93.19	77.1	76.55
NOM1	12.59	10.95	11.03	14.22	13.4	12.87
NOMO1	183.56	192.01	189.61	239.33	246.38	225.22
NOMO2	174.08	180.88	189.18	241.16	228.1	213.18
NOMO3	104.14	104.17	105.39	139.76	125.02	123.63
NONO	220.61	223.74	229.72	226.86	214.16	221.24
NOP10	214.52	189.67	203.61	488.79	478.73	523.11
NOP14	28.68	26.69	30.14	55.15	49.03	48.84
NOP14-AS1	3.96	4.1	3.9	6.09	3.87	6.3
NOP16	27.81	22.99	23.18	81.12	56.76	72.58
NOP2	23.83	20.96	21.94	45.65	37.42	34.51
NOP56	66.24	61.53	63.71	92.13	60.17	78.88
NOP58	53.03	47.33	46.08	87.37	56.63	71.64
NOP9	12.29	13.57	13.78	23.01	24.39	21.88
NOS1	0	0	0	0	0	0.01
NOS1AP	0.26	0.24	0.29	0.16	0.2	0.12
NOS2	0	0.02	0	0	0	0
NOS3	0.23	0.06	0.23	0.08	0	0
NOSIP	57.97	53.75	59.07	103.66	90.45	98.48
NOSTRIN	0.44	0.7	0.88	0.91	2.13	2.78
NOTCH1	8	11.08	9.11	20.58	24.62	16.64
NOTCH2	81.06	74.03	79.87	61.9	59.02	55.62
NOTCH2NL	14.93	14.7	14.52	11.56	11.48	10.99
NOTCH3	29.62	39.92	40.9	31.45	56.23	34.31
NOTCH4	0.1	0.01	0.12	0.08	0.35	0.2
NOTO	0	0	0	0	0	0
NOTUM	0.08	0	0.15	0.16	0.25	0.19
NOV	3.32	2.37	1.79	2.33	1.35	1.33
NOVA1	3.16	3.11	3.72	0.35	0.47	0.45
NOVA2	0	0	0	0	0	0
NOX1	0.11	0.04	0	0.1	0.19	0.22
NOX3	0	0	0	0	0	0.05
NOX4	2.62	3.41	2.2	2.53	1.79	2.2
NOX5	0.23	0.33	0.39	0.26	0.2	0.23
NOXA1	0.44	1.01	0.22	0.16	0.08	0.07
NOXO1	1.53	1.44	1.62	2.9	1.45	2.05
NOXRED1	0.2	0.27	0.17	0.19	0.12	0.4
NPAP1	0	0	0	0	0	0
NPAS1	1.61	1.67	2.14	0.92	1.14	0.72
NPAS2	16.6	15.82	13.17	10.47	12.09	11.69
NPAS3	0	0.02	0	0.02	0	0
NPAS4	0.19	0.09	0.1	0	0.03	0
NPAT	6.5	7.39	6.67	7.33	8.89	6.99
NPB	10.24	9.08	12.63	6.26	4.72	4.88
NPBWR1	0	0	0	0	0	0
NPBWR2	0	0	0	0	0	0
NPC1	23.02	23.25	19.54	39.99	46.56	39.57
NPC1L1	0.45	0.69	0.8	0.12	0.26	0.21
NPC2	209.07	203.51	216.51	196.73	207.29	176.03
NPDC1	57.86	67.14	75.15	147.47	131.17	134.33
NPEPL1	28.9	33.07	32.94	40.83	46.34	42.9
NPEPPS	87.97	87.11	84.43	96.85	95.39	90.89
NPFF	1.87	1.12	1.2	0.44	0.41	0.39
NPFFR1	0	0	0	0	0	0
NPFFR2	0	0	0	0	0.06	0.05
NPHP1	2.08	2.99	2.57	1.58	1.96	1.4
NPHP3	17.38	14.65	13.88	23.76	19.55	20.44
NPHP3-ACAD11	4.27	5.3	4.62	2.95	5.38	3.78
NPHP3-AS1	0.04	0	0	0.05	0.04	0.04
NPHP4	5.19	6.67	5.86	7.25	7.41	6.37
NPHS1	0	0	0	0.02	0	0
NPHS2	0	0	0	0	0	0
NPIPA1	53.93	48.44	56.65	23.55	27.48	29.98
NPIPA2	5.81	5.98	3.8	1.35	2.65	1.24
NPIPA3	0	0	0	0	0	0
NPIPA5	4.36	8.99	5.91	7.07	4.85	2.02
NPIPA7	8.77	11.07	9.08	5.19	3.75	6.28
NPIPA8	8.77	11.07	9.08	5.19	3.75	6.28
NPIPB11	1.88	1.7	1	1.18	1.22	1.42
NPIPB15	3.72	5.42	4.51	3.93	4.36	2.31
NPIPB3	7.07	6.34	3.79	7.59	6.25	3.38
NPIPB4	2.61	2.68	1.89	1.43	1.17	1.16
NPIPB5	11.83	13.16	14.55	8.23	10.22	10.81
NPIPB6	0.26	0	0.4	0.37	0	0
NPIPB8	0	0	0	0	0	0
NPIPB9	0.86	0.5	0.76	0.12	0	0.11
NPL	0.46	0.5	0.46	0.41	0.3	0.59
NPLOC4	81.19	78.34	79.9	106.35	108.27	103.1
NPM1	1128.79	989.92	1043.11	1252.09	996.2	1178.02
NPM2	4.87	7.28	5.47	0.26	0.5	0.36
NPM3	47.49	45.85	47.56	35.58	41.82	39.61
NPNT	0	0	0	0	0	0
NPPA	0.57	0.87	0	0.29	0.27	0
NPPA-AS1	0.92	0.67	0.64	0.45	0.55	0.31
NPPB	0	0	0	1.09	0	0
NPPC	0	0	0	0.18	0.34	0.33
NPR1	0	0.02	0	0	0	0
NPR2	28.56	33.27	33.48	20.34	29.36	25.82
NPR3	2.78	2.66	2.91	0.28	0.25	0.29
NPRL2	13.39	12.8	13.23	14.03	17.22	16.97
NPRL3	34.52	32.97	32.08	34.59	34.08	32.97
NPS	0	0	0	0	0	0
NPSR1	0	0	0	0	0	0
NPSR1-AS1	0	0	0	0	0	0
NPTN	318.87	291.47	311.69	261.45	269.61	263.36
NPTN-IT1	1.39	1.64	0.98	0.9	0.84	0.85
NPTX1	14.2	10.09	14.15	23.66	16.22	11.71
NPTX2	0	0	0	0	0	0.08
NPTXR	7.07	7.22	6.22	4.42	5.35	3.94
NPVF	0	0	0	0	0	0
NPW	2.62	3.39	2.15	2.89	3.97	3.14
NPY	0	0	0	0	0	0
NPY1R	0	0	0	0	0	0
NPY2R	0	0	0	0	0.03	0
NPY4R	0	0	0	0	0	0
NPY5R	0	0	0	0	0	0
NPY6R	0	0	0	0	0	0.03
NQO1	314.77	332.15	353.49	132.65	151.98	142.19
NQO2	45.9	42.58	42.63	19.57	19.45	19.69
NR0B1	0.18	0.13	0.1	0	0	0
NR0B2	0	0	0	0.09	0	0
NR1D1	9.66	10.29	11.11	6.21	9.36	7.48
NR1D2	34.61	33	33.19	8.65	10.59	9.09
NR1H2	69.02	75.43	72.83	87.07	94.06	91.45
NR1H3	7.41	9.17	11.75	2.45	3.91	3.21
NR1H4	0	0	0	0	0	0
NR1I2	0.03	0	0	0	0	0.08
NR1I3	0.12	0.13	0	0.14	0.23	0.12
NR2C1	14.23	15.02	12.24	11.24	11.01	11.88
NR2C2	18.23	17.4	16.01	9.7	11.91	8.52
NR2C2AP	4.09	4.18	4.3	2.03	1.99	2.72
NR2E1	0.03	0.04	0.04	0	0	0
NR2E3	0.18	0.3	0	0	0.17	0.05
NR2F1	134.19	173.22	152.07	30.99	34.24	31.79
NR2F1-AS1	19.55	21.34	19.77	15.53	12.23	12.25
NR2F2	99.64	88.88	82.24	46.26	63.64	47.47
NR2F2-AS1	5	4.95	2.91	3.68	2.77	4.51
NR2F6	77.86	85.37	78.57	110.44	106.48	109.84
NR3C1	45.7	46.46	42.01	31.23	36.53	30.57
NR3C2	0.65	0.41	0.48	0.82	0.25	0.37
NR4A1	4.03	3.9	3.5	1.67	3.77	2
NR4A2	0.61	1.26	0.81	0.16	0.37	0.12
NR4A3	0.37	0.42	0.38	21.4	21.37	17.66
NR5A1	0	0	0	0	0	0
NR5A2	0.02	0.02	0	0	0.11	0.02
NR6A1	0.1	0.15	0.02	0.18	0.25	0.19
NRADDP	0	0	0	0	0	0.11
NRAP	0.02	0	0.03	0	0.54	0.21
NRARP	0.35	0.3	0.61	0.18	0.29	0.24
NRAS	91.29	77.69	79.96	57.97	42.79	45.22
NRAV	7.21	7.21	7.87	9.58	4.64	6.04
NRBF2	38.17	41.74	38.48	61.07	60.78	63.05
NRBP1	143.52	137.96	133.35	187.99	162.55	170.49
NRBP2	20.83	24.82	24.13	27.19	32.81	30.62
NRCAM	0.5	0.73	0.55	0.22	0.19	0.16
NRD1	145.51	143.16	147.19	181.48	198.74	176.51
NRDE2	6.32	6.02	5.82	5.19	5.71	6.32
NREP	254.23	208.23	188.64	25.87	23.68	25.9
NREP-AS1	0	0	0	0	0	0
NRF1	6.89	7.49	6.71	6.12	6.55	6.69
NRG1	13.29	16.32	16.47	403.08	490.93	452.48
NRG1-IT1	0	0	0	0	0	0
NRG1-IT3	0	0	0	0	0	0
NRG2	0.12	0	0.13	0.06	0	0.08
NRG3	0	0	0	0	0	0
NRG3-AS1	0	0	0	0	0	0
NRG4	0.17	0.23	0.07	0.65	0.15	0.15
NRGN	5.33	4.82	4.78	8.14	13.78	12.22
NRIP1	15.36	14.77	15.5	14.99	7.98	10.18
NRIP2	0.65	0.5	0.52	0.21	0.24	0.26
NRIP3	14.16	12.35	13.1	75.78	104.8	73.93
NRIR	0	0	0	0	0	0
NRK	5.2	3.4	4.04	11.81	8.93	9.81
NRL	0.51	0.66	0.49	0.18	0.11	0.27
NRM	17.57	16.51	17.09	7.16	6.71	7.01
NRN1	0	0	0	0.08	0.14	0.27
NRN1L	0.47	0.35	0	0.61	0	0
NRON	0.03	0	0	0	0	0
NRP1	72.46	67.1	71.14	106.38	114.08	92.32
NRP2	119.43	123.07	103.29	39.46	48.33	37.23
NRROS	0.04	0	0.06	5.31	5.14	4.44
NRSN1	0	0	0	0	0	0
NRSN2	64.14	62.67	65.12	54.05	59.27	56.57
NRSN2-AS1	7.16	7.83	6.38	2.23	2.59	2.93
NRTN	3.43	3.66	1.51	0.11	0.1	0.2
NRXN1	0.04	0.03	0	0.02	0.01	0
NRXN2	0	0	0	0	0	0
NRXN3	4.9	2.19	1.38	0.3	0	0.11
NSA2	117.47	113.45	110.65	105.56	84.92	96.41
NSD1	28.15	27.44	25.08	22.63	20.5	18.01
NSDHL	32.65	28.39	34.88	90.38	96.07	92.8
NSF	54.71	49.98	55.43	75.88	68.23	69.72
NSFL1C	42.55	38.85	40.49	46.81	45.82	46.2
NSFP1	2.87	7.23	0.87	7.85	0.49	6.76
NSG1	1.91	6.34	4.34	6.77	13.31	8.62
NSL1	12.83	12.94	15	9.77	7.41	8.64
NSMAF	47.37	44.94	42.69	22.26	22.22	20.22
NSMCE1	69.6	74.93	70.69	64.72	80.65	73.98
NSMCE2	34.21	28.45	30.96	21.52	25.66	24.72
NSMCE4A	17.18	18.66	17.57	12.53	15.92	14.02
NSMF	35.92	39.78	35.39	75.27	81.38	76.29
NSRP1	31.21	32.29	30.07	37.16	36.38	40.91
NSUN2	42.66	38.1	37.42	88.85	74.46	83.39
NSUN3	9.08	8.26	8.13	7.23	6.1	7.86
NSUN4	8.43	9.24	8.55	8.7	10.04	9.24
NSUN5	19.43	19.18	18.11	18.62	15.53	16.41
NSUN5P1	14.48	19.6	17.84	9.79	12.15	10.04
NSUN5P2	2.21	3.31	3.95	2.34	2.72	2.2
NSUN6	4.03	4.03	3.56	3.41	2.74	2.74
NSUN7	0.07	0.13	0.09	0	0.03	0.06
NT5C	30.64	30.31	32.11	23.04	23.73	29.09
NT5C1A	0	0	0	0	0	0.1
NT5C1B	0	0.09	0.11	0.15	0	0
NT5C1B-RDH14	0.15	0.07	0	0.02	0.12	0.12
NT5C2	88.98	84.23	86.46	50.71	48.17	47.95
NT5C3A	29.7	26.83	30.64	26.19	19.38	24.33
NT5C3B	62	66.62	63.93	63.86	67.02	61.6
NT5DC1	15.43	14.4	14.9	16.55	17.44	17.62
NT5DC2	230.91	237.95	224.67	242.58	257.62	264.6
NT5DC3	3.23	2.04	1.88	1.73	1.45	1.34
NT5E	483.07	324.49	330.45	827.39	806.8	684.03
NT5M	0.12	0.26	0.51	0.07	0.28	0.13
NTAN1	64.7	57.19	69.98	88.75	96.72	106.5
NTF3	15.36	11.27	12.73	6.38	6.53	6.47
NTF4	0.29	0.21	0.51	0.12	0.12	0.11
NTHL1	21.43	23.07	24.18	21.92	20.36	21.77
NTM	31.74	39.82	35.94	55.18	61.27	46.84
NTM-IT	0	0.14	0	0	0	0
NTMT1	56.06	45.82	52.87	74.47	86.46	73.85
NTN1	0.11	0.44	0.32	0.46	0.73	0.35
NTN3	0.6	0.45	0.73	0.18	0.06	0.11
NTN4	209.21	212.36	221.63	13.41	18.34	15.92
NTN5	0.48	0.63	0.59	0.06	0.17	0.06
NTNG1	0.03	0	0	0.6	0.94	0.68
NTNG2	4.97	6.57	6.3	4.25	6.81	4.09
NTPCR	46.49	52.17	50.65	37.79	45.21	43.71
NTRK1	0	0.08	0	0.09	0.56	0.41
NTRK2	0	0	0	0	0	0
NTRK3	0	0	0	0.04	0.03	0.03
NTRK3-AS1	0	0	0	0	0	0
NTS	0	0.08	0	0	0.09	0
NTSR1	0.91	0.74	0.81	78.3	113.31	78.77
NTSR2	0	0	0	0	0	0
NUAK1	11.67	10.8	8.43	15.19	14.87	13.69
NUAK2	8.85	5.89	7.09	5.93	4.29	5.55
NUB1	44.04	49.14	49.83	17.14	19.93	19.12
NUBP1	22.92	22.79	20.82	18.08	15.34	18.07
NUBP2	66.83	68.24	61.26	93.92	76.15	84.3
NUBPL	10.83	11.7	11.44	6.88	7.46	7.52
